OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
ISS (ZARYA),1998-067A,25544,PAY,+,ISS,1998-11-20,TYMSC,,92.97,51.63,425,416,399.0524,,EA,ORB
POISK,2009-060A,36086,PAY,+,ISS,2009-11-10,TYMSC,,,,,,11.1757,,25544,DOC
CSS (TIANHE),2021-035A,48274,PAY,+,PRC,2021-04-29,WSC,,92.16,41.47,385,376,,,EA,ORB
ISS (NAUKA),2021-066A,49044,PAY,+,CIS,2021-07-21,TYMSC,,,,,,,,25544,DOC
FREGAT DEB,2011-037PF,49271,DEB,,CIS,2011-07-18,TYMSC,,116.04,51.64,2247,757,,,EA,ORB
CSS (WENTIAN),2022-085A,53239,PAY,+,PRC,2022-07-24,WSC,,92.16,41.47,385,376,,,48274,DOC
CSS (MENGTIAN),2022-143A,54216,PAY,+,PRC,2022-10-31,WSC,,92.16,41.47,385,376,,,48274,DOC
TIANZHOU-9,2025-149A,64786,PAY,+,PRC,2025-07-14,WSC,,92.16,41.47,385,376,,,48274,DOC
PROGRESS-MS 32,2025-204A,65586,PAY,+,CIS,2025-09-11,TYMSC,,92.97,51.63,425,416,,,25544,DOC
BOTAN,1998-067XQ,65943,PAY,+,JPN,1998-11-20,TYMSC,,88.33,51.61,199,185,,,EA,ORB
HRC MONOBLOCK CAMERA,1998-067XR,66052,DEB,,CA,1998-11-20,TYMSC,,91.92,51.63,372,366,,,EA,ORB
HTV-X1,2025-241A,66174,PAY,+,JPN,2025-10-26,TANSC,,93.95,51.64,473,463,,,EA,ORB
SZ-21 MODULE,2025-246C,66515,DEB,,PRC,2025-10-31,JSC,,91.63,41.47,357,351,,,EA,ORB
SHENZHOU-22,2025-272A,66645,PAY,+,PRC,2025-11-25,JSC,,92.16,41.47,385,376,,,48274,DOC
SOYUZ-MS 28,2025-275A,66664,PAY,+,CIS,2025-11-27,TYMSC,,92.97,51.63,425,416,,,25544,DOC
DUPLEX,1998-067XS,66906,PAY,+,US,1998-11-20,TYMSC,,92.39,51.63,394,389,,,EA,ORB
ISS OBJECT XT,1998-067XT,66907,PAY,+,TBD,1998-11-20,TYMSC,,90.67,51.62,315,300,,,EA,ORB
ISS OBJECT XU,1998-067XU,66908,PAY,+,TBD,1998-11-20,TYMSC,,90.66,51.62,315,300,,,EA,ORB
SILVERSAT,1998-067XV,66909,PAY,+,US,1998-11-20,TYMSC,,89.88,51.61,278,259,,,EA,ORB
ISS OBJECT XW,1998-067XW,66910,PAY,+,TBD,1998-11-20,TYMSC,,90.88,51.62,325,311,,,EA,ORB
ISS OBJECT XY,1998-067XY,66912,PAY,+,TBD,1998-11-20,TYMSC,,91.58,51.62,357,347,,,EA,ORB
KNACKSAT-2,1998-067XZ,67683,PAY,+,THAI,1998-11-20,TYMSC,,92.60,51.63,410,394,,,EA,ORB
CORAL,1998-067YA,67684,PAY,+,IT,1998-11-20,TYMSC,,92.24,51.63,395,374,,,EA,ORB
GXIBA-1,1998-067YB,67685,PAY,+,MEX,1998-11-20,TYMSC,,92.55,51.63,409,390,,,EA,ORB
UITMSAT-2,1998-067YC,67686,PAY,+,MALA,1998-11-20,TYMSC,,92.47,51.63,403,388,,,EA,ORB
HMU-SAT2,1998-067YD,67687,PAY,+,JPN,1998-11-20,TYMSC,,92.58,51.63,408,394,,,EA,ORB
LEOPARD,1998-067YE,67688,PAY,+,JPN,1998-11-20,TYMSC,,92.51,51.63,404,391,,,EA,ORB
CREW DRAGON 12,2026-031A,67796,PAY,+,US,2026-02-13,AFETR,,92.97,51.63,425,416,,,25544,DOC
PROGRESS-MS 33,2026-058A,68319,PAY,+,CIS,2026-03-22,TYMSC,,92.97,51.63,425,416,,,25544,DOC
CYGNUS NG-24,2026-079A,68689,PAY,+,US,2026-04-11,AFETR,,92.97,51.63,425,416,,,25544,DOC
